BBOalert
Option
,1C,See chat message#16+; any distribution except 16-23 with 4441 distribution
1C--1D--1H--1S--1N--2S--3C--,4H,Invitational 
1C--1D--1H--1S--1N--2S--3C--,4S,Invitational 
1C--1D--1H--1S--1N--2S--3C--4D--,4H,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--3C--4D--,4S,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--3C--4D--,4N,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--3C--4D--,5C,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--3C--4D--,5D,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--3C--4D--,5H,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2S--3C--4D--,5S,7 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2N--,3C,Break of the Transfer; 3+ cards in !D; Max. Range
1C--1D--1H--1S--1N--2N--,3D,Accepts Transfer
1C--1D--1H--1S--1N--2N--3C--,3D,To Play
1C--1D--1H--1S--1N--2N--3C--,3H,Second Suit
1C--1D--1H--1S--1N--2N--3C--,3S,Second Suit
1C--1D--1H--1S--1N--2N--3C--,3N,To Play; a mild slam invitation in !D
1C--1D--1H--1S--1N--2N--3C--,4C,BETA Asking for General Level of Control
1C--1D--1H--1S--1N--2N--3C--,4H,Invitational 
1C--1D--1H--1S--1N--2N--3C--,4S,Invitational 
1C--1D--1H--1S--1N--2N--3C--4C--,4D,0-2 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2N--3C--4C--,4H,3 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2N--3C--4C--,4S,4 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2N--3C--4C--,4N,5 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2N--3C--4C--,5C,6 ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2N--3C--4C--,5D,7+ ctrls. (A=2 K=1)
1C--1D--1H--1S--1N--2N--3D--,3H,2nd 4-card suit; or occasionally a stopper with weakness in a black suit
1C--1D--1H--1S--1N--2N--3D--,3S,2nd 4-card suit; or occasionally a stopper with weakness in a black suit
