BBOalert
1C,1D,9-12HcP; 5+!D; NF
1D1N--2C--2D--,2S,4+!S
1D1N--2C--2D--2S--,2N,No Honor 3rd
1D1N--2C--2D--2S--2N--,3C,ASK distrib
1D1N--2C--2D--2S--2N--3C--,3D,3-3-4-3
1D1N--2C--2D--2S--2N--3C--,3H,2-3-4-4
1D1N--2C--2D--2S--2N--3C--,3N,3-3-3-4
1D1N--2C--2D--2S--2N--3C--,3S,3-2-4-4
1D1N--2C--2D--2S--,3S,Honor 3rd
1D1N--2C--2D--,3C,ASK distrib
1D1N--2C--2D--3C--,3D,3-3-4-3
1D1N--2C--2D--3C--,3H,2-3-4-4
1D1N--2C--2D--3C--,3N,3-3-3-4
1D1N--2C--2D--3C--,3S,3-2-4-4
1D1N--2C--,2H,4!H; 2-3!S
1D1N--2C--2H--,2N,7-8HcP; No fit
1D1N--2C--2H--,2S,4+!S
1D1N--2C--2H--2S--,2N,No Honor 3rd
1D1N--2C--2H--2S--2N--,3C,ASK distrib
1D1N--2C--2H--2S--2N--3C--,3D,2-4-4-3; 3-4-4-2
1D1N--2C--2H--2S--2N--3C--,3H,minimum; 3-4-3-3
1D1N--2C--2H--2S--2N--3C--,3N,2-4-3-4; 3-4-2-4
1D1N--2C--2H--2S--2N--3C--,3S,MAXIMUM; 3-4-3-3
1D1N--2C--2H--2S--,3S,Honor 3rd
1D1N--2C--2H--,3C,ASK distrib
1D1N--2C--2H--3C--,3D,2-4-4-3; 3-4-4-2
1D1N--2C--2H--3C--,3H,minimum; 3-4-3-3
1D1N--2C--2H--3C--,3N,2-4-3-4; 3-4-2-4
1D1N--2C--2H--3C--,3S,MAXIMUM; 3-4-3-3
1D1N--2C--,2N,MAXIMUM; No 4card MAJOR
1D1N--2C--,2S,4!S; 2-3!H
1D1N--2C--2S--,2N,7-8HcP; No fit
1D1N--2C--2S--,3C,ASK distrib
1D1N--2C--2S--3C--,3D,4-2-4-3; 4-3-4-2
1D1N--2C--2S--3C--,3H,minimum; 4-3-3-3
1D1N--2C--2S--3C--,3N,4-2-3-4; 4-3-2-4
1D1N--2C--2S--3C--,3S,MAXIMUM; 4-3-3-3
1D1N--2C--2S--,3H,4+!H
1D1N--2C--2S--3H--,3N,No Honor 3rd
1D1N--2C--2S--3H--,4H,Honor 3rd
1D1N--2C--,3C,minimum; 4-4-3-2; 4-4-2-3
1D1N--2C--,3D,MAXIMUM; 4-4-3-2; 4-4-2-3
1D1N--,2D,Trans -> !H
1D1N--,2H,Trans -> !S
1D1N--,2N,7-8HcP; No mAJOR
1D1N--,2S,Trans -> minor
1D1N--,3C,12+HcP; 5+!C; Slam-invite
1D1N--3CDb,3D,minimum;No fit
1D1N--3CDb,3H,minimum;fit
1D1N--3CDb,3N,MAXIMUM;fit
1D1N--3CDb,3S,MAXIMUM;No fit
1D1N--3C--,3D,minimum;No fit
1D1N--3C--,3H,minimum;fit
1D1N--3C--,3N,MAXIMUM;fit
1D1N--3C--,3S,MAXIMUM;No fit
1D1N--,3D,12+HcP; 5+!D; Slam-invite
1D1N--3DDb,3H,minimum;No fit
1D1N--3DDb,3N,MAXIMUM;No fit
1D1N--3DDb,3S,minimum;fit
1D1N--3DDb,4C,MAXIMUM;fit
1D1N--3D--,3H,minimum;No fit
1D1N--3D--,3N,MAXIMUM;No fit
1D1N--3D--,3S,minimum;fit
1D1N--3D--,4C,MAXIMUM;fit
1D1N--,3H,12+HcP; 5+!H; Slam-invite
1D1N--3HDb,3N,minimum;fit
1D1N--3HDb,3S,minimum;No fit
1D1N--3HDb,4C,MAXIMUM;No fit
1D1N--3HDb,4D,MAXIMUM;fit
1D1N--3H--,3N,minimum;fit
1D1N--3H--,3S,minimum;No fit
1D1N--3H--,4C,MAXIMUM;No fit
1D1N--3H--,4D,MAXIMUM;fit
1D1N--,3N,Signoff
1D1N--,3S,12+HcP; 5+!S; Slam-invite
1D1N--3SDb,3N,minimum;No fit
1D1N--3SDb,4C,minimum;fit
1D1N--3SDb,4D,MAXIMUM;No fit
1D1N--3SDb,4H,MAXIMUM;fit
1D1N--3S--,3N,minimum;No fit
1D1N--3S--,4C,minimum;fit
1D1N--3S--,4D,MAXIMUM;No fit
1D1N--3S--,4H,MAXIMUM;fit
1D1N--,4D,Trans -> !H
1D1N--,4H,Trans -> !S
1D,1S,9-12HcP; 5+!S; NF
1D,2C,12-15HcP; 5+!C; Good
1D,2D,3-suiter; Any short; LTC: <5
1D2DDb,2D,Signoff
1D2DDb2D--,2H,0-1!D
1D2DDb,2H,Signoff
1D2DDb2H--,2S,0-1!H
1D2DDb,2N,ASK short
1D2DDb2NDb,3C,0-1!C
1D2DDb2NDb3C--,3D,ASK trump
1D2DDb2NDb3C--3D--,3H,Minimum;weak supp
1D2DDb2NDb3C--3D--,3N,MAXIMUM;weak supp
1D2DDb2NDb3C--3D--,3S,Minimum;GOOD supp  2 TOP-HONORs\\
1D2DDb2NDb3C--3D--,4C,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2DDb2NDb3C--,3H,ASK trump
1D2DDb2NDb3C--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
1D2DDb2NDb3C--3H--,3S,Minimum;weak supp
1D2DDb2NDb3C--3H--,4C,MAXIMUM;weak supp
1D2DDb2NDb3C--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2DDb2NDb3C--,3N,Signoff
1D2DDb2NDb3C--,3S,ASK trump
1D2DDb2NDb3C--3S--,3N,Minimum;weak supp
1D2DDb2NDb3C--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3C--3S--,4D,MAXIMUM;weak supp
1D2DDb2NDb3C--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3C--,4H,Signoff
1D2DDb2NDb3C--,4S,Signoff
1D2DDb2NDb3C--,5C,Signoff
1D2DDb2NDb3C--,5D,Signoff
1D2DDb2NDb,3D,0-1!D
1D2DDb2NDb3D--,3H,ASK trump
1D2DDb2NDb3D--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
1D2DDb2NDb3D--3H--,3S,Minimum;weak supp
1D2DDb2NDb3D--3H--,4C,MAXIMUM;weak supp
1D2DDb2NDb3D--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2DDb2NDb3D--,3N,Signoff
1D2DDb2NDb3D--,3S,ASK trump
1D2DDb2NDb3D--3S--,3N,Minimum;weak supp
1D2DDb2NDb3D--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3D--3S--,4D,MAXIMUM;weak supp
1D2DDb2NDb3D--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3D--,4C,ASK trump
1D2DDb2NDb3D--4C--,4D,Minimum;weak supp
1D2DDb2NDb3D--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3D--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3D--4C--,4S,MAXIMUM;weak supp
1D2DDb2NDb3D--,4H,Signoff
1D2DDb2NDb3D--,4S,Signoff
1D2DDb2NDb3D--,5C,Signoff
1D2DDb2NDb3D--,5D,Signoff
1D2DDb2NDb,3H,0-1!H
1D2DDb2NDb3H--,3N,Signoff
1D2DDb2NDb3H--,3S,ASK trump
1D2DDb2NDb3H--3S--,3N,Minimum;weak supp
1D2DDb2NDb3H--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3H--3S--,4D,MAXIMUM;weak supp
1D2DDb2NDb3H--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3H--,4C,ASK trump
1D2DDb2NDb3H--4C--,4D,Minimum;weak supp
1D2DDb2NDb3H--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3H--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3H--4C--,4S,MAXIMUM;weak supp
1D2DDb2NDb3H--,4D,ASK trump
1D2DDb2NDb3H--4D--,4H,Minimum;weak supp
1D2DDb2NDb3H--4D--,4N,MAXIMUM;weak supp
1D2DDb2NDb3H--4D--,4S,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3H--4D--,5C,MAXIMUM;GOOD supp  2 TOP-HONORs
1D2DDb2NDb3H--,4H,Signoff
1D2DDb2NDb3H--,4S,Signoff
1D2DDb2NDb3H--,5C,Signoff
1D2DDb2NDb3H--,5D,Signoff
1D2DDb2NDb,3S,0-1!S
1D2DDb2NDb3S--,3N,Signoff
1D2DDb2NDb3S--,4C,ASK trump
1D2DDb2NDb3S--4C--,4D,Minimum;weak supp
1D2DDb2NDb3S--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3S--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3S--4C--,4S,MAXIMUM;weak supp
1D2DDb2NDb3S--,4D,ASK trump
1D2DDb2NDb3S--4D--,4H,Minimum;weak supp
1D2DDb2NDb3S--4D--,4N,MAXIMUM;weak supp
1D2DDb2NDb3S--4D--,4S,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2NDb3S--4D--,5C,MAXIMUM;GOOD supp  2 TOP-HONORs
1D2DDb2NDb3S--,4H,Signoff
1D2DDb2NDb3S--,4N,Set of trumf: !H. ASK trump
1D2DDb2NDb3S--4N--,5C,Minimum;weak supp
1D2DDb2NDb3S--4N--,5D,Minimum;GOOD supp  2 TOP-HONORs\\
1D2DDb2NDb3S--4N--,5H,MAXIMUM;weak supp
1D2DDb2NDb3S--4N--,5S,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2DDb2NDb3S--,4S,Signoff
1D2DDb2NDb3S--,5C,Signoff
1D2DDb2NDb3S--,5D,Signoff
1D2DDb2N--,3C,0-1!C
1D2DDb2N--3C--,3D,ASK trump
1D2DDb2N--3C--3D--,3H,Minimum;weak supp
1D2DDb2N--3C--3D--,3N,MAXIMUM;weak supp
1D2DDb2N--3C--3D--,3S,Minimum;GOOD supp  2 TOP-HONORs\\
1D2DDb2N--3C--3D--,4C,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2DDb2N--3C--,3H,ASK trump
1D2DDb2N--3C--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
1D2DDb2N--3C--3H--,3S,Minimum;weak supp
1D2DDb2N--3C--3H--,4C,MAXIMUM;weak supp
1D2DDb2N--3C--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2DDb2N--3C--,3N,Signoff
1D2DDb2N--3C--,3S,ASK trump
1D2DDb2N--3C--3S--,3N,Minimum;weak supp
1D2DDb2N--3C--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3C--3S--,4D,MAXIMUM;weak supp
1D2DDb2N--3C--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3C--,4H,Signoff
1D2DDb2N--3C--,4S,Signoff
1D2DDb2N--3C--,5C,Signoff
1D2DDb2N--3C--,5D,Signoff
1D2DDb2N--,3D,0-1!D
1D2DDb2N--3D--,3H,ASK trump
1D2DDb2N--3D--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
1D2DDb2N--3D--3H--,3S,Minimum;weak supp
1D2DDb2N--3D--3H--,4C,MAXIMUM;weak supp
1D2DDb2N--3D--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2DDb2N--3D--,3N,Signoff
1D2DDb2N--3D--,3S,ASK trump
1D2DDb2N--3D--3S--,3N,Minimum;weak supp
1D2DDb2N--3D--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3D--3S--,4D,MAXIMUM;weak supp
1D2DDb2N--3D--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3D--,4C,ASK trump
1D2DDb2N--3D--4C--,4D,Minimum;weak supp
1D2DDb2N--3D--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3D--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3D--4C--,4S,MAXIMUM;weak supp
1D2DDb2N--3D--,4H,Signoff
1D2DDb2N--3D--,4S,Signoff
1D2DDb2N--3D--,5C,Signoff
1D2DDb2N--3D--,5D,Signoff
1D2DDb2N--,3H,0-1!H
1D2DDb2N--3H--,3N,Signoff
1D2DDb2N--3H--,3S,ASK trump
1D2DDb2N--3H--3S--,3N,Minimum;weak supp
1D2DDb2N--3H--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3H--3S--,4D,MAXIMUM;weak supp
1D2DDb2N--3H--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3H--,4C,ASK trump
1D2DDb2N--3H--4C--,4D,Minimum;weak supp
1D2DDb2N--3H--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3H--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3H--4C--,4S,MAXIMUM;weak supp
1D2DDb2N--3H--,4D,ASK trump
1D2DDb2N--3H--4D--,4H,Minimum;weak supp
1D2DDb2N--3H--4D--,4N,MAXIMUM;weak supp
1D2DDb2N--3H--4D--,4S,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3H--4D--,5C,MAXIMUM;GOOD supp  2 TOP-HONORs
1D2DDb2N--3H--,4H,Signoff
1D2DDb2N--3H--,4S,Signoff
1D2DDb2N--3H--,5C,Signoff
1D2DDb2N--3H--,5D,Signoff
1D2DDb2N--,3S,0-1!S
1D2DDb2N--3S--,3N,Signoff
1D2DDb2N--3S--,4C,ASK trump
1D2DDb2N--3S--4C--,4D,Minimum;weak supp
1D2DDb2N--3S--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3S--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3S--4C--,4S,MAXIMUM;weak supp
1D2DDb2N--3S--,4D,ASK trump
1D2DDb2N--3S--4D--,4H,Minimum;weak supp
1D2DDb2N--3S--4D--,4N,MAXIMUM;weak supp
1D2DDb2N--3S--4D--,4S,Minimum;GOOD supp 2 TOP-HONORs\\
1D2DDb2N--3S--4D--,5C,MAXIMUM;GOOD supp  2 TOP-HONORs
1D2DDb2N--3S--,4H,Signoff
1D2DDb2N--3S--,4N,Set of trumf: !H. ASK trump
1D2DDb2N--3S--4N--,5C,Minimum;weak supp
1D2DDb2N--3S--4N--,5D,Minimum;GOOD supp  2 TOP-HONORs\\
1D2DDb2N--3S--4N--,5H,MAXIMUM;weak supp
1D2DDb2N--3S--4N--,5S,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2DDb2N--3S--,4S,Signoff
1D2DDb2N--3S--,5C,Signoff
1D2DDb2N--3S--,5D,Signoff
1D2DDb,2S,Signoff
1D2DDb2S--,2N,0-1!S
1D2DDb,3C,Signoff
1D2DDb3C--,3D,0-1!C
1D2D--,2D,Signoff
1D2D--2D--,2H,0-1!D
1D2D--,2H,Signoff
1D2D--2H--,2S,0-1!H
1D2D--,2N,ASK short
1D2D--2NDb,3C,0-1!C
1D2D--2NDb3C--,3D,ASK trump
1D2D--2NDb3C--3D--,3H,Minimum;weak supp
1D2D--2NDb3C--3D--,3N,MAXIMUM;weak supp
1D2D--2NDb3C--3D--,3S,Minimum;GOOD supp  2 TOP-HONORs\\
1D2D--2NDb3C--3D--,4C,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2D--2NDb3C--,3H,ASK trump
1D2D--2NDb3C--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
1D2D--2NDb3C--3H--,3S,Minimum;weak supp
1D2D--2NDb3C--3H--,4C,MAXIMUM;weak supp
1D2D--2NDb3C--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2D--2NDb3C--,3N,Signoff
1D2D--2NDb3C--,3S,ASK trump
1D2D--2NDb3C--3S--,3N,Minimum;weak supp
1D2D--2NDb3C--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3C--3S--,4D,MAXIMUM;weak supp
1D2D--2NDb3C--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3C--,4H,Signoff
1D2D--2NDb3C--,4S,Signoff
1D2D--2NDb3C--,5C,Signoff
1D2D--2NDb3C--,5D,Signoff
1D2D--2NDb,3D,0-1!D
1D2D--2NDb3D--,3H,ASK trump
1D2D--2NDb3D--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
1D2D--2NDb3D--3H--,3S,Minimum;weak supp
1D2D--2NDb3D--3H--,4C,MAXIMUM;weak supp
1D2D--2NDb3D--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2D--2NDb3D--,3N,Signoff
1D2D--2NDb3D--,3S,ASK trump
1D2D--2NDb3D--3S--,3N,Minimum;weak supp
1D2D--2NDb3D--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3D--3S--,4D,MAXIMUM;weak supp
1D2D--2NDb3D--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3D--,4C,ASK trump
1D2D--2NDb3D--4C--,4D,Minimum;weak supp
1D2D--2NDb3D--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3D--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3D--4C--,4S,MAXIMUM;weak supp
1D2D--2NDb3D--,4H,Signoff
1D2D--2NDb3D--,4S,Signoff
1D2D--2NDb3D--,5C,Signoff
1D2D--2NDb3D--,5D,Signoff
1D2D--2NDb,3H,0-1!H
1D2D--2NDb3H--,3N,Signoff
1D2D--2NDb3H--,3S,ASK trump
1D2D--2NDb3H--3S--,3N,Minimum;weak supp
1D2D--2NDb3H--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3H--3S--,4D,MAXIMUM;weak supp
1D2D--2NDb3H--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3H--,4C,ASK trump
1D2D--2NDb3H--4C--,4D,Minimum;weak supp
1D2D--2NDb3H--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3H--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3H--4C--,4S,MAXIMUM;weak supp
1D2D--2NDb3H--,4D,ASK trump
1D2D--2NDb3H--4D--,4H,Minimum;weak supp
1D2D--2NDb3H--4D--,4N,MAXIMUM;weak supp
1D2D--2NDb3H--4D--,4S,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3H--4D--,5C,MAXIMUM;GOOD supp  2 TOP-HONORs
1D2D--2NDb3H--,4H,Signoff
1D2D--2NDb3H--,4S,Signoff
1D2D--2NDb3H--,5C,Signoff
1D2D--2NDb3H--,5D,Signoff
1D2D--2NDb,3S,0-1!S
1D2D--2NDb3S--,3N,Signoff
1D2D--2NDb3S--,4C,ASK trump
1D2D--2NDb3S--4C--,4D,Minimum;weak supp
1D2D--2NDb3S--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3S--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3S--4C--,4S,MAXIMUM;weak supp
1D2D--2NDb3S--,4D,ASK trump
1D2D--2NDb3S--4D--,4H,Minimum;weak supp
1D2D--2NDb3S--4D--,4N,MAXIMUM;weak supp
1D2D--2NDb3S--4D--,4S,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2NDb3S--4D--,5C,MAXIMUM;GOOD supp  2 TOP-HONORs
1D2D--2NDb3S--,4H,Signoff
1D2D--2NDb3S--,4N,Set of trumf: !H. ASK trump
1D2D--2NDb3S--4N--,5C,Minimum;weak supp
1D2D--2NDb3S--4N--,5D,Minimum;GOOD supp  2 TOP-HONORs\\
1D2D--2NDb3S--4N--,5H,MAXIMUM;weak supp
1D2D--2NDb3S--4N--,5S,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2D--2NDb3S--,4S,Signoff
1D2D--2NDb3S--,5C,Signoff
1D2D--2NDb3S--,5D,Signoff
1D2D--2N--,3C,0-1!C
1D2D--2N--3C--,3D,ASK trump
1D2D--2N--3C--3D--,3H,Minimum;weak supp
1D2D--2N--3C--3D--,3N,MAXIMUM;weak supp
1D2D--2N--3C--3D--,3S,Minimum;GOOD supp  2 TOP-HONORs\\
1D2D--2N--3C--3D--,4C,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2D--2N--3C--,3H,ASK trump
1D2D--2N--3C--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
1D2D--2N--3C--3H--,3S,Minimum;weak supp
1D2D--2N--3C--3H--,4C,MAXIMUM;weak supp
1D2D--2N--3C--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2D--2N--3C--,3N,Signoff
1D2D--2N--3C--,3S,ASK trump
1D2D--2N--3C--3S--,3N,Minimum;weak supp
1D2D--2N--3C--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3C--3S--,4D,MAXIMUM;weak supp
1D2D--2N--3C--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3C--,4H,Signoff
1D2D--2N--3C--,4S,Signoff
1D2D--2N--3C--,5C,Signoff
1D2D--2N--3C--,5D,Signoff
1D2D--2N--,3D,0-1!D
1D2D--2N--3D--,3H,ASK trump
1D2D--2N--3D--3H--,3N,Minimum;GOOD supp  2 TOP-HONORs\\
1D2D--2N--3D--3H--,3S,Minimum;weak supp
1D2D--2N--3D--3H--,4C,MAXIMUM;weak supp
1D2D--2N--3D--3H--,4D,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2D--2N--3D--,3N,Signoff
1D2D--2N--3D--,3S,ASK trump
1D2D--2N--3D--3S--,3N,Minimum;weak supp
1D2D--2N--3D--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3D--3S--,4D,MAXIMUM;weak supp
1D2D--2N--3D--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3D--,4C,ASK trump
1D2D--2N--3D--4C--,4D,Minimum;weak supp
1D2D--2N--3D--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3D--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3D--4C--,4S,MAXIMUM;weak supp
1D2D--2N--3D--,4H,Signoff
1D2D--2N--3D--,4S,Signoff
1D2D--2N--3D--,5C,Signoff
1D2D--2N--3D--,5D,Signoff
1D2D--2N--,3H,0-1!H
1D2D--2N--3H--,3N,Signoff
1D2D--2N--3H--,3S,ASK trump
1D2D--2N--3H--3S--,3N,Minimum;weak supp
1D2D--2N--3H--3S--,4C,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3H--3S--,4D,MAXIMUM;weak supp
1D2D--2N--3H--3S--,4H,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3H--,4C,ASK trump
1D2D--2N--3H--4C--,4D,Minimum;weak supp
1D2D--2N--3H--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3H--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3H--4C--,4S,MAXIMUM;weak supp
1D2D--2N--3H--,4D,ASK trump
1D2D--2N--3H--4D--,4H,Minimum;weak supp
1D2D--2N--3H--4D--,4N,MAXIMUM;weak supp
1D2D--2N--3H--4D--,4S,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3H--4D--,5C,MAXIMUM;GOOD supp  2 TOP-HONORs
1D2D--2N--3H--,4H,Signoff
1D2D--2N--3H--,4S,Signoff
1D2D--2N--3H--,5C,Signoff
1D2D--2N--3H--,5D,Signoff
1D2D--2N--,3S,0-1!S
1D2D--2N--3S--,3N,Signoff
1D2D--2N--3S--,4C,ASK trump
1D2D--2N--3S--4C--,4D,Minimum;weak supp
1D2D--2N--3S--4C--,4H,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3S--4C--,4N,MAXIMUM;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3S--4C--,4S,MAXIMUM;weak supp
1D2D--2N--3S--,4D,ASK trump
1D2D--2N--3S--4D--,4H,Minimum;weak supp
1D2D--2N--3S--4D--,4N,MAXIMUM;weak supp
1D2D--2N--3S--4D--,4S,Minimum;GOOD supp 2 TOP-HONORs\\
1D2D--2N--3S--4D--,5C,MAXIMUM;GOOD supp  2 TOP-HONORs
1D2D--2N--3S--,4H,Signoff
1D2D--2N--3S--,4N,Set of trumf: !H. ASK trump
1D2D--2N--3S--4N--,5C,Minimum;weak supp
1D2D--2N--3S--4N--,5D,Minimum;GOOD supp  2 TOP-HONORs\\
1D2D--2N--3S--4N--,5H,MAXIMUM;weak supp
1D2D--2N--3S--4N--,5S,MAXIMUM;GOOD supp  2 TOP-HONORs\\
1D2D--2N--3S--,4S,Signoff
1D2D--2N--3S--,5C,Signoff
1D2D--2N--3S--,5D,Signoff
1D2D--,2S,Signoff
1D2D--2S--,2N,0-1!S
1D2D--,3C,Signoff
1D2D--3C--,3D,0-1!C
1D,2H,12-15HcP; 5+!H; Good
1D,2N,10-14HcP; !C + !D
1D,2S,12-15HcP; 5+!S; Good
1D,3D,17-18HcP; 3-suiter. LTC: 5-6
1D,Db,12+HcP; No 3-suiter. Takeout
1DDb--,1D,Herbert Negative
1DDb--1D--,2N,20+HcP; ANY
1DDb--,1H,Herbert Negative
1DDb--,2C,5+!C; Good hand
1DDb--2C--,3N,20+HcP; ANY
1DDb--,2D,ASK stop
1DDb--2D--,3N,20+HcP; ANY
1DDb--,2H,5+!H; Good hand
1DDb--2H--,3N,20+HcP; ANY
1DDb--,2S,5+!S; Good hand
1DDb--2S--,3N,20+HcP; ANY
1H,1N,16-19HcP; bal
1H1N--,2C,Stayman
1H1N--2C--,2D,minimum; No 4 card MAJOR
1H1N--2C--2D--,2H,4+!H
1H1N--2C--2D--2H--,2N,No Honor 3rd
1H1N--2C--2D--2H--2N--,3C,ASK distrib
1H1N--2C--2D--2H--2N--3C--,3D,3-3-4-3
1H1N--2C--2D--2H--2N--3C--,3H,2-3-4-4
1H1N--2C--2D--2H--2N--3C--,3N,3-3-3-4
1H1N--2C--2D--2H--2N--3C--,3S,3-2-4-4
1H1N--2C--2D--2H--,3H,Honor 3rd
1H1N--2C--2D--,2N,7-8HcP; No fit
1H1N--2C--2D--,2S,4+!S
1H1N--2C--2D--2S--,2N,No Honor 3rd
1H1N--2C--2D--2S--2N--,3C,ASK distrib
1H1N--2C--2D--2S--2N--3C--,3D,3-3-4-3
1H1N--2C--2D--2S--2N--3C--,3H,2-3-4-4
1H1N--2C--2D--2S--2N--3C--,3N,3-3-3-4
1H1N--2C--2D--2S--2N--3C--,3S,3-2-4-4
1H1N--2C--2D--2S--,3S,Honor 3rd
1H1N--2C--2D--,3C,ASK distrib
1H1N--2C--2D--3C--,3D,3-3-4-3
1H1N--2C--2D--3C--,3H,2-3-4-4
1H1N--2C--2D--3C--,3N,3-3-3-4
1H1N--2C--2D--3C--,3S,3-2-4-4
1H1N--2C--,2H,4!H; 2-3!S
1H1N--2C--2H--,2N,7-8HcP; No fit
1H1N--2C--2H--,2S,4+!S
1H1N--2C--2H--2S--,2N,No Honor 3rd
